тролл

Cluster	Rank	Freq	Range	NormFreq	NormRange
сказала мама муми тролля	1	15	1	0.100	1.000
ответила мама муми тролля	2	3	1	0.020	1.000
спросила мама муми тролля	2	3	1	0.020	1.000
туве янссон маленькие тролли	2	3	1	0.020	1.000
и мама муми тролля	5	2	1	0.013	1.000
на маму муми тролля	5	2	1	0.013	1.000
наконец мама муми тролля	5	2	1	0.013	1.000
ответил папа муми тролля	5	2	1	0.013	1.000
а мама муми тролля	9	1	1	0.007	1.000
бедный маленький муми тролль	9	1	1	0.007	1.000
берег маме муми тролля	9	1	1	0.007	1.000
был необыкновенный муми тролль	9	1	1	0.007	1.000
была маленькой муми троллям	9	1	1	0.007	1.000
быть воскликнул муми тролль	9	1	1	0.007	1.000
в маму муми тролля	9	1	1	0.007	1.000
в тину муми тролль	9	1	1	0.007	1.000
вдруг мама муми тролля	9	1	1	0.007	1.000
вежливо воскликнул муми тролль	9	1	1	0.007	1.000
велела мама муми троллю	9	1	1	0.007	1.000
вечер приветствовали муми троллей	9	1	1	0.007	1.000
взяв лапки муми тролля	9	1	1	0.007	1.000
видели папу муми тролля	9	1	1	0.007	1.000
вместе с домашними троллями	9	1	1	0.007	1.000
вообще то муми тролль	9	1	1	0.007	1.000
воскликнула мама муми тролля	9	1	1	0.007	1.000
встречать других муми троллей	9	1	1	0.007	1.000
всхлипнула мама муми тролля	9	1	1	0.007	1.000
выше несчастный муми тролль	9	1	1	0.007	1.000
гавань сказал морской тролль	9	1	1	0.007	1.000
громче чем муми тролль	9	1	1	0.007	1.000
грустно папа муми тролля	9	1	1	0.007	1.000
дальний ведь муми тролли	9	1	1	0.007	1.000
дама а муми тролль	9	1	1	0.007	1.000
должен фигурировать муми тролль	9	1	1	0.007	1.000
его мама муми тролля	9	1	1	0.007	1.000
есть сказал муми тролль	9	1	1	0.007	1.000
забавно тут муми тролль	9	1	1	0.007	1.000
закричала мама муми тролля	9	1	1	0.007	1.000
зверек а муми тролль	9	1	1	0.007	1.000
зверек я муми тролль	9	1	1	0.007	1.000
знатнее чем морские тролли	9	1	1	0.007	1.000
и взяв муми тролля	9	1	1	0.007	1.000
и печальный муми тролль	9	1	1	0.007	1.000
и темноту муми троллю	9	1	1	0.007	1.000
и тюлиппа муми тролль	9	1	1	0.007	1.000
их мама муми тролля	9	1	1	0.007	1.000
их папа муми тролля	9	1	1	0.007	1.000
когда подоспели муми тролль	9	1	1	0.007	1.000
конечно выпалил муми тролль	9	1	1	0.007	1.000
конце августа муми тролль	9	1	1	0.007	1.000
кораблекрушение закричал муми тролль	9	1	1	0.007	1.000
кресло хвостом муми тролль	9	1	1	0.007	1.000
крикнула мама муми тролля	9	1	1	0.007	1.000
купаться закричал муми тролль	9	1	1	0.007	1.000
лодке оказался морской тролль	9	1	1	0.007	1.000
лодку закричала морскому троллю	9	1	1	0.007	1.000
лодку мама муми тролля	9	1	1	0.007	1.000
лугам которые муми троллю	9	1	1	0.007	1.000
мальчика мама муми тролля	9	1	1	0.007	1.000
мама же муми тролля	9	1	1	0.007	1.000
мама и муми тролль	9	1	1	0.007	1.000
мама спросил муми тролль	9	1	1	0.007	1.000
могли поспать муми тролль	9	1	1	0.007	1.000
на землю муми тролля	9	1	1	0.007	1.000
над берегом муми тролль	9	1	1	0.007	1.000
надеявшаяся на морского тролля	9	1	1	0.007	1.000
назвала его муми троллем	9	1	1	0.007	1.000
наступит зима муми тролли	9	1	1	0.007	1.000
неистово заорал муми тролль	9	1	1	0.007	1.000
непременно желало маленьких троллей	9	1	1	0.007	1.000
нет добавил муми тролль	9	1	1	0.007	1.000
нравится заметил морской тролль	9	1	1	0.007	1.000
обрадованная мама муми тролля	9	1	1	0.007	1.000
объяснила мама муми тролля	9	1	1	0.007	1.000
один голос муми тролль	9	1	1	0.007	1.000
один раз муми тролль	9	1	1	0.007	1.000
она взяла муми тролля	9	1	1	0.007	1.000
они заметили морского тролля	9	1	1	0.007	1.000
опасности внезапно муми тролль	9	1	1	0.007	1.000
особенно для муми тролля	9	1	1	0.007	1.000
оставила спросил муми тролль	9	1	1	0.007	1.000
отрезала мама муми тролля	9	1	1	0.007	1.000
папе попросил муми тролль	9	1	1	0.007	1.000
папу ответил муми тролль	9	1	1	0.007	1.000
печками спросил муми тролль	9	1	1	0.007	1.000
плачь сказал муми тролль	9	1	1	0.007	1.000
повеселел а муми тролль	9	1	1	0.007	1.000
пойду сказал муми тролль	9	1	1	0.007	1.000
пока мама муми тролля	9	1	1	0.007	1.000
поклонился маме муми тролля	9	1	1	0.007	1.000
портрет красавца муми тролля	9	1	1	0.007	1.000
привет воскликнул муми тролль	9	1	1	0.007	1.000
привет закричал муми тролль	9	1	1	0.007	1.000
привет ответил морской тролль	9	1	1	0.007	1.000
прощание и муми тролль	9	1	1	0.007	1.000
руля сказал морской тролль	9	1	1	0.007	1.000
с нами морской тролль	9	1	1	0.007	1.000
светом хотя муми тролли	9	1	1	0.007	1.000
свойственно большинству муми троллей	9	1	1	0.007	1.000
сквозь бурю муми тролль	9	1	1	0.007	1.000
смотрите сказал муми тролль	9	1	1	0.007	1.000
совершенно одинокий муми тролль	9	1	1	0.007	1.000
спасите меня муми тролль	9	1	1	0.007	1.000
спиной мамы муми тролля	9	1	1	0.007	1.000
стая крошечных морских троллей	9	1	1	0.007	1.000
схватив клювом муми тролля	9	1	1	0.007	1.000
сын знаменитый муми тролль	9	1	1	0.007	1.000
то время муми тролли	9	1	1	0.007	1.000
тогда мама муми тролля	9	1	1	0.007	1.000
тоже подхватил муми тролль	9	1	1	0.007	1.000
трепещущим языком муми тролль	9	1	1	0.007	1.000
тролль мама муми тролля	9	1	1	0.007	1.000
тролль ответил муми тролль	9	1	1	0.007	1.000
у ее муми тролля	9	1	1	0.007	1.000
у мамы муми тролля	9	1	1	0.007	1.000
угодно ответил морской тролль	9	1	1	0.007	1.000
ура закричал муми тролль	9	1	1	0.007	1.000
успокаивал его муми тролль	9	1	1	0.007	1.000
хатифнаттом спросил муми тролль	9	1	1	0.007	1.000
цветами и муми тролль	9	1	1	0.007	1.000
чепуха воскликнул муми тролль	9	1	1	0.007	1.000
чепуха усмехнулся муми тролль	9	1	1	0.007	1.000
что если морской тролль	9	1	1	0.007	1.000
что мама myми тролля	9	1	1	0.007	1.000
что съел муми тролль	9	1	1	0.007	1.000
этой книжки муми тролли	9	1	1	0.007	1.000


мам

Cluster	Rank	Freq	Range	NormFreq	NormRange
тролль и его мама	1	3	1	0.029	1.000
а это моя мама	2	1	1	0.010	1.000
безнадежным и вдруг мама	2	1	1	0.010	1.000
быстрее быстрее закричала мама	2	1	1	0.010	1.000
в воде крикнула мама	2	1	1	0.010	1.000
в водовороте и мама	2	1	1	0.010	1.000
в огонь пока мама	2	1	1	0.010	1.000
вашей стороны сказала мама	2	1	1	0.010	1.000
вернемся утешила его мама	2	1	1	0.010	1.000
видите серьезно спросила мама	2	1	1	0.010	1.000
вместе посмотрели на маму	2	1	1	0.010	1.000
вода это лимонад мама	2	1	1	0.010	1.000
воду парусную лодку мама	2	1	1	0.010	1.000
волшебные зверюшки объяснила мама	2	1	1	0.010	1.000
вот видишь сказала мама	2	1	1	0.010	1.000
глаза целая семья мама	2	1	1	0.010	1.000
глупый вид сказала мама	2	1	1	0.010	1.000
господина марабу правда мама	2	1	1	0.010	1.000
да спасибо сказала мама	2	1	1	0.010	1.000
детки успокоила их мама	2	1	1	0.010	1.000
для нас спросила мама	2	1	1	0.010	1.000
до конца сказала мама	2	1	1	0.010	1.000
его папу с мамой	2	1	1	0.010	1.000
ему удалось схватить маму	2	1	1	0.010	1.000
живет там сказала мама	2	1	1	0.010	1.000
за ним сказала мама	2	1	1	0.010	1.000
за путешествие велела мама	2	1	1	0.010	1.000
зверек и тюлиппа мама	2	1	1	0.010	1.000
и добрейшая муми мама	2	1	1	0.010	1.000
и думала огорчилась мама	2	1	1	0.010	1.000
и замерзший повторила мама	2	1	1	0.010	1.000
и кидать его маме	2	1	1	0.010	1.000
и печально сказала мама	2	1	1	0.010	1.000
и под ними мама	2	1	1	0.010	1.000
и посмотрела на маму	2	1	1	0.010	1.000
и сами ответила мама	2	1	1	0.010	1.000
